Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00       30     0.00     0.00  docxtotxt::slideInsertInfo::slideInsertInfo(docxtotxt::slideInsertInfo const&)
  0.00      0.00     0.00       30     0.00     0.00  docxtotxt::PptParser::insertSlideMetadata(docxtotxt::slideInsertInfo)
  0.00      0.00     0.00       30     0.00     0.00  docxtotxt::slideInfo::slideInfo(docxtotxt::slideInfo const&)
  0.00      0.00     0.00       28     0.00     0.00  std::codecvt_utf8<wchar_t, 1114111ul, (std::codecvt_mode)0>::~codecvt_utf8()
  0.00      0.00     0.00       26     0.00     0.00  docxtotxt::DocumentLoader::openFileAndParse(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, docxtotxt::relations_t&, void (docxtotxt::DocumentLoader::*)(tinyxml2::XMLDocument*, docxtotxt::relations_t&))
  0.00      0.00     0.00       26     0.00     0.00  docxtotxt::DocumentLoader::parseRelationShip(tinyxml2::XMLDocument*, docxtotxt::relations_t&)
  0.00      0.00     0.00       25     0.00     0.00  void std::vector<docxtotxt::paragraph, std::allocator<docxtotxt::paragraph> >::_M_realloc_insert<docxtotxt::paragraph&>(__gnu_cxx::__normal_iterator<docxtotxt::paragraph*, std::vector<docxtotxt::paragraph, std::allocator<docxtotxt::paragraph> > >, docxtotxt::paragraph&)
  0.00      0.00     0.00       25     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&&, char const*)
  0.00      0.00     0.00       24     0.00     0.00  void std::vector<std::vector<docxtotxt::textBody, std::allocator<docxtotxt::textBody> >, std::allocator<std::vector<docxtotxt::textBody, std::allocator<docxtotxt::textBody> > > >::_M_realloc_insert<std::vector<docxtotxt::textBody, std::allocator<docxtotxt::textBody> > >(__gnu_cxx::__normal_iterator<std::vector<docxtotxt::textBody, std::allocator<docxtotxt::textBody> >*, std::vector<std::vector<docxtotxt::textBody, std::allocator<docxtotxt::textBody> >, std::allocator<std::vector<docxtotxt::textBody, std::allocator<docxtotxt::textBody> > > > >, std::vector<docxtotxt::textBody, std::allocator<docxtotxt::textBody> >&&)
  0.00      0.00     0.00       24     0.00     0.00  void std::__unguarded_linear_insert<__gnu_cxx::__normal_iterator<docxtotxt::insertObject*, std::vector<docxtotxt::insertObject, std::allocator<docxtotxt::insertObject> > >, __gnu_cxx::__ops::_Val_less_iter>(__gnu_cxx::__normal_iterator<docxtotxt::insertObject*, std::vector<docxtotxt::insertObject, std::allocator<docxtotxt::insertObject> > >, __gnu_cxx::__ops::_Val_less_iter)
  0.00      0.00     0.00       23     0.00     0.00  void std::vector<docxtotxt::columnSettings, std::allocator<docxtotxt::columnSettings> >::_M_realloc_insert<docxtotxt::columnSettings&>(__gnu_cxx::__normal_iterator<docxtotxt::columnSettings*, std::vector<docxtotxt::columnSettings, std::allocator<docxtotxt::columnSettings> > >, docxtotxt::columnSettings&)
  0.00      0.00     0.00       23     0.00     0.00  void std::vector<docxtotxt::paragraph, std::allocator<docxtotxt::paragraph> >::emplace_back<docxtotxt::paragraph&>(docxtotxt::paragraph&)
  0.00      0.00     0.00       20     0.00     0.00  docxtotxt::MainDocParser::saveImages(std::map<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > > const&) const
  0.00      0.00     0.00       18     0.00     0.00  docxtotxt::DocParser::parseFile()
  0.00      0.00     0.00       18     0.00     0.00  docxtotxt::slideInfo::~slideInfo()
  0.00      0.00     0.00       16     0.00     0.00  docxtotxt::sheet::~sheet()
  0.00      0.00     0.00       15     0.00     0.00  docxtotxt::DocumentLoader::parsePresentationSlide(tinyxml2::XMLDocument*)
  0.00      0.00     0.00       15     0.00     0.00  docxtotxt::PptParser::insertSlide(std::vector<docxtotxt::insertObject, std::allocator<docxtotxt::insertObject> >)
  0.00      0.00     0.00       15     0.00     0.00  std::vector<docxtotxt::insertImage, std::allocator<docxtotxt::insertImage> >::operator=(std::vector<docxtotxt::insertImage, std::allocator<docxtotxt::insertImage> > const&)
  0.00      0.00     0.00       15     0.00     0.00  std::vector<docxtotxt::insertObject, std::allocator<docxtotxt::insertObject> >::operator=(std::vector<docxtotxt::insertObject, std::allocator<docxtotxt::insertObject> > const&)
  0.00      0.00     0.00       15     0.00     0.00  void std::__insertion_sort<__gnu_cxx::__normal_iterator<docxtotxt::insertObject*, std::vector<docxtotxt::insertObject, std::allocator<docxtotxt::insertObject> > >, __gnu_cxx::__ops::_Iter_less_iter>(__gnu_cxx::__normal_iterator<docxtotxt::insertObject*, std::vector<docxtotxt::insertObject, std::allocator<docxtotxt::insertObject> > >, __gnu_cxx::__normal_iterator<docxtotxt::insertObject*, std::vector<docxtotxt::insertObject, std::allocator<docxtotxt::insertObject> > >, __gnu_cxx::__ops::_Iter_less_iter)
  0.00      0.00     0.00       14     0.00     0.00  std::__cxx11::wstring_convert<std::codecvt_utf8<wchar_t, 1114111ul, (std::codecvt_mode)0>, wchar_t, std::allocator<wchar_t>, std::allocator<char> >::from_bytes(char const*)
  0.00      0.00     0.00       12     0.00     0.00  docxtotxt::sheet::sheet(docxtotxt::sheet const&)
